1	2014-09-29	186	90
2	2014-09-14	185	71
3	2014-09-13	185	72
4	2014-09-12	185	39
5	2014-08-15	184	76
6	2014-07-27	183	45
7	2014-07-26	182	23
8	2014-07-25	181	21
9	2014-07-11	180	40
10	2014-06-27	179	27
11	2014-06-08	270	83
12	2014-06-07	270	85
13	2014-06-06	270	82
14	2014-05-15	178	13
15	2014-04-25	177	48
16	2014-03-31	176	87
17	2013-11-09	174	53
18	2013-10-04	173	93
19	2013-09-25	172	90
20	2013-09-15	171	72
21	2013-09-14	171	71
22	2013-09-13	171	39
23	2013-08-16	170	76
24	2013-07-27	169	23
25	2013-07-26	168	45
26	2013-07-11	167	40
27	2013-06-28	166	27
28	2013-06-16	271	94
29	2013-06-15	271	51
30	2013-06-14	271	20
31	2013-05-17	165	41
32	2013-04-19	164	48
33	2013-03-25	163	87
34	2012-11-10	161	53
35	2012-10-10	160	93
36	2012-09-25	159	90
37	2012-09-09	158	72
38	2012-09-08	158	71
39	2012-09-07	158	39
40	2012-08-17	157	76
41	2012-07-28	156	62
42	2012-07-27	155	45
43	2012-07-10	154	48
44	2012-06-07	153	6
45	2012-05-08	152	13
46	2012-04-21	151	65
47	2012-04-20	151	66
48	2012-04-19	151	67
49	2012-04-18	151	28
50	2012-03-30	150	87
51	2011-11-12	148	53
52	2011-10-17	147	26
53	2011-09-29	146	91
54	2011-09-11	145	71
55	2011-09-10	145	72
56	2011-09-09	145	39
57	2011-08-19	144	76
58	2011-07-30	143	62
59	2011-07-29	142	45
60	2011-07-07	141	6
61	2011-06-11	140	34
62	2011-06-10	140	7
63	2011-05-19	139	41
64	2011-04-20	138	48
65	2011-03-28	137	87
66	2010-11-06	135	53
67	2010-10-14	134	54
68	2010-09-28	133	91
69	2010-09-12	132	72
70	2010-09-11	132	71
71	2010-09-10	132	39
72	2010-08-26	131	76
73	2010-07-22	130	6
74	2010-07-03	129	62
75	2010-06-06	128	2
76	2010-06-05	128	77
77	2010-06-04	128	33
78	2010-05-13	127	13
79	2010-04-21	126	48
80	2010-03-31	125	87
81	2009-11-14	123	53
82	2009-10-17	122	37
83	2009-09-29	121	91
84	2009-09-13	120	72
85	2009-09-12	120	73
86	2009-09-11	120	39
87	2009-08-20	119	76
88	2009-07-30	118	6
89	2009-07-04	117	62
90	2009-06-14	116	80
91	2009-06-13	116	10
92	2009-06-12	116	59
93	2009-05-22	115	41
94	2009-04-16	114	75
95	2009-03-31	113	87
96	2008-11-15	111	53
97	2008-10-11	110	37
98	2008-09-30	109	91
99	2008-09-14	108	70
100	2008-09-13	108	69
101	2008-09-12	108	78
102	2008-08-21	107	76
103	2008-07-21	106	6
104	2008-06-21	105	62
105	2008-05-22	104	13
106	2008-04-18	103	48
107	2008-03-26	102	87
108	2007-11-10	100	53
109	2007-10-12	99	9
110	2007-09-18	98	91
111	2007-09-09	97	72
112	2007-09-08	97	73
113	2007-09-07	97	39
114	2007-08-09	96	76
115	2007-07-14	95	62
116	2007-06-18	94	93
117	2007-05-16	93	41
118	2007-04-28	92	24
119	2007-04-27	92	49
120	2007-04-26	92	25
121	2007-04-25	92	43
122	2007-03-28	91	87
123	2006-11-11	89	53
124	2006-10-14	88	9
125	2006-09-27	87	90
